dive,height,description,degree_of_difficulty,ignore1,ignore2,ignore3,ignore4,ignore5,ignore6
001A,1M,Forward Entry Straight,1.00,16.69,24.00,147,16.51,24.00,909,
001A,3M,Forward Entry Straight,1.00,17.48,24.50,279,17.45,40.80,1866,
001A,5M,Forward Entry Straight,1.00,17.07,18.00,7,17.07,24.00,74,
001A,7M,Forward Entry Straight,1.00,0.00,0.00,0,0.00,0.00,0,
001A,10M,Forward Entry Straight,1.00,0.00,0.00,0,16.00,16.00,1,
001B,1M,Forward Entry Pike,1.00,17.11,27.00,534,16.52,46.55,4114,
001B,3M,Forward Entry Pike,1.00,17.29,26.50,682,17.05,34.20,5491,
001B,5M,Forward Entry Pike,1.00,17.89,22.00,48,17.46,25.00,328,
001B,7M,Forward Entry Pike,1.00,17.00,17.00,1,17.94,23.50,16,
001B,10M,Forward Entry Pike,1.00,0.00,0.00,0,17.90,21.50,5,
001C,1M,Forward Entry Tuck,1.00,12.60,19.50,25,14.59,25.00,246,
001C,3M,Forward Entry Tuck,1.00,16.53,23.50,273,16.26,28.00,1984,
001C,5M,Forward Entry Tuck,1.00,17.80,20.00,5,16.15,24.50,119,
001C,7M,Forward Entry Tuck,1.00,0.00,0.00,0,16.00,16.50,3,
001C,10M,Forward Entry Tuck,1.00,0.00,0.00,0,19.17,21.00,3,
001D,1M,Forward Entry Free,1.00,16.61,24.50,652,16.30,38.00,4201,
001D,3M,Forward Entry Free,1.00,17.34,25.00,1580,17.20,30.00,11328,
001D,5M,Forward Entry Free,1.00,17.33,24.00,231,16.92,25.50,1725,
001D,7M,Forward Entry Free,1.00,17.75,21.00,4,18.24,22.50,27,
001D,10M,Forward Entry Free,1.00,0.00,0.00,0,0.00,0.00,0,
002A,1M,Back Entry Straight,1.00,15.58,24.00,505,15.34,28.80,3586,
002A,3M,Back Entry Straight,1.00,16.48,25.50,482,16.19,34.20,3586,
002A,5M,Back Entry Straight,1.00,12.50,12.50,1,15.81,22.00,43,
002A,7M,Back Entry Straight,1.00,0.00,0.00,0,16.50,16.50,1,
002A,10M,Back Entry Straight,1.00,0.00,0.00,0,0.00,0.00,0,
002B,1M,Back Entry Pike,1.00,14.83,18.50,3,13.36,22.00,28,
002B,3M,Back Entry Pike,1.00,17.17,20.50,6,16.67,22.00,32,
002B,5M,Back Entry Pike,1.00,0.00,0.00,0,16.25,19.50,2,
002B,7M,Back Entry Pike,1.00,0.00,0.00,0,0.00,0.00,0,
002B,10M,Back Entry Pike,1.00,0.00,0.00,0,0.00,0.00,0,
002C,1M,Back Entry Tuck,1.00,15.95,19.00,11,14.09,20.50,132,
002C,3M,Back Entry Tuck,1.00,16.08,23.00,113,15.94,36.10,815,
002C,5M,Back Entry Tuck,1.00,17.13,20.00,8,16.90,20.00,30,
002C,7M,Back Entry Tuck,1.00,0.00,0.00,0,18.50,18.50,1,
002C,10M,Back Entry Tuck,1.00,0.00,0.00,0,0.00,0.00,0,
002D,1M,Back Entry Free,1.00,14.78,23.50,287,14.75,26.50,2459,
002D,3M,Back Entry Free,1.00,15.98,24.50,556,15.57,30.40,3976,
002D,5M,Back Entry Free,1.00,16.15,22.50,30,16.00,22.50,89,
002D,7M,Back Entry Free,1.00,0.00,0.00,0,17.50,17.50,1,
002D,10M,Back Entry Free,1.00,0.00,0.00,0,0.00,0.00,0,
100A,1M,Forward Jump Straight,1.00,17.07,26.00,1804,16.86,38.00,16058,
100A,3M,Forward Jump Straight,1.00,16.76,24.50,1621,16.69,26.50,14155,
100A,5M,Forward Jump Straight,1.00,17.25,23.00,201,17.07,27.00,1597,
100A,7M,Forward Jump Straight,1.00,16.50,20.50,6,16.89,24.00,58,
100A,10M,Forward Jump Straight,1.00,17.25,19.00,2,18.28,24.50,23,
100B,1M,Forward Jump Pike,1.00,17.29,24.50,627,16.92,24.50,3373,
100B,3M,Forward Jump Pike,1.00,16.69,25.50,558,16.92,28.80,3015,
100B,5M,Forward Jump Pike,1.00,17.61,22.50,52,17.81,26.00,310,
100B,7M,Forward Jump Pike,1.00,17.75,19.50,4,20.06,25.00,9,
100B,10M,Forward Jump Pike,1.00,0.00,0.00,0,16.50,16.50,1,
100C,1M,Forward Jump Tuck,1.00,17.03,24.50,985,16.66,35.00,6750,
100C,3M,Forward Jump Tuck,1.00,16.76,23.00,975,16.65,34.20,6236,
100C,5M,Forward Jump Tuck,1.00,17.36,24.50,76,17.10,25.00,565,
100C,7M,Forward Jump Tuck,1.00,14.75,15.50,2,17.24,24.00,33,
100C,10M,Forward Jump Tuck,1.00,16.50,16.50,1,20.10,41.40,8,
100D,1M,Forward Jump Free,1.00,16.19,20.00,24,17.96,29.00,75,
100D,3M,Forward Jump Free,1.00,16.75,21.50,19,
100B,3M,Forward Jump Pike,1.00,16.69,25.50,15,
100B,5M,Forward Jump Pike,1.00,17.61,22.50,52,
100B,7M,Forward Jump Pike,1.00,17.75,19.50,4,
100B,10M,Forward Jump Pike,1.00,0.00,0.00,0,16.50,
100C,3M,Forward Jump Tuck,1.00,16.76,23.00,975,16.65
100C,7M,Forward Jump Tuck,1.00,14.75,15.50,2,17.24,24.00,33,
100C,3M,Forward Jump Tuck,1.00,16.185,16.66,35.00,6750,
100C,7M,Forward Jump Tuck,1.00,14.75,15.50,2,17.24,24.00,33,
102A,5M,Forward 1 Somersault Straight,1.60,0.00,0.00,0,0.00,0.00,0,
102A,7M,Forward 1 Somersault Straight,1.70,0.00,0.00,0,0.00,0.00,0,
102A,10M,Forward 1 Somersault Straight,1.80,0.00,0.00,0,0.00,0.00,0,
102B,1M,Forward 1 Somersault Pike,1.50,22.56,38.25,378,21.99,40.80,2630,
102B,3M,Forward 1 Somersault Pike,1.60,25.52,33.60,12,21.99,44.40,67,
102B,5M,Forward 1 Somersault Pike,1.50,27.75,27.75,1,19.31,27.75,4,
102B,7M,Forward 1 Somersault Pike,1.60,0.00,0.00,0,27.20,27.20,1,
102B,10M,Forward 1 Somersault Pike,1.70,0.00,0.00,0,31.88,35.70,2,
102C,1M,Forward 1 Somersault Tuck,1.40,18.70,36.60,1181,18.19,36.60,8758,
102C,3M,Forward 1 Somersault Tuck,1.50,18.35,30.00,32,19.16,47.00,247,
102C,5M,Forward 1 Somersault Tuck,1.40,15.40,21.70,2,17.78,22.80,4,
102C,7M,Forward 1 Somersault Tuck,1.50,0.00,0.00,0,0.00,0.00,0,
102C,10M,Forward 1 Somersault Tuck,1.60,0.00,0.00,0,27.95,36.80,6,
103A,1M,Forward 1 1/2 Somersault Straight,2.00,25.25,42.00,4,34.80,48.00,37,
103A,3M,Forward 1 1/2 Somersault Straight,1.90,35.78,52.25,3,32.60,52.25,52,
103A,5M,Forward 1 1/2 Somersault Straight,2.00,0.00,0.00,0,0.00,0.00,0,
103A,7M,Forward 1 1/2 Somersault Straight,1.90,0.00,0.00,0,0.00,0.00,0,
103A,10M,Forward 1 1/2 Somersault Straight,1.90,0.00,0.00,0,33.25,33.25,1,
103B,1M,Forward 1 1/2 Somersault Pike,1.70,30.56,51.60,9135,30.11,55.20,75098,
103B,3M,Forward 1 1/2 Somersault Pike,1.60,28.89,52.20,8359,28.42,69.00,70662,
103B,5M,Forward 1 1/2 Somersault Pike,1.70,29.69,43.35,1213,29.02,54.60,8677,
103B,7M,Forward 1 1/2 Somersault Pike,1.60,30.62,43.20,641,30.67,50.40,5138,
103B,10M,Forward 1 1/2 Somersault Pike,1.60,34.31,55.80,665,35.53,57.60,6340,
103C,1M,Forward 1 1/2 Somersault Tuck,1.60,24.13,48.00,3567,23.84,48.00,27977,
103C,3M,Forward 1 1/2 Somersault Tuck,1.50,22.29,43.00,1430,22.14,62.00,11245,
103C,5M,Forward 1 1/2 Somersault Tuck,1.60,24.99,37.60,201,25.08,40.00,1355,
103C,7M,Forward 1 1/2 Somersault Tuck,1.50,29.86,40.50,11,28.89,41.25,82,
103C,10M,Forward 1 1/2 Somersault Tuck,1.50,32.63,34.50,2,31.91,50.40,81,
104A,1M,Forward 2 Somersault Straight,2.60,0.00,0.00,1,7.80,15.60,2,
104A,3M,Forward 2 Somersault Straight,2.40,0.00,0.00,0,34.80,34.80,1,
104A,5M,Forward 2 Somersault Straight,2.60,0.00,0.00,0,0.00,0.00,0,
104A,7M,Forward 2 Somersault Straight,2.40,0.00,0.00,0,0.00,0.00,0,
104A,10M,Forward 2 Somersault Straight,2.50,0.00,0.00,0,0.00,0.00,0,
104B,1M,Forward 2 Somersault Pike,2.30,36.26,57.50,1960,35.80,65.55,12841,
104B,3M,Forward 2 Somersault Pike,2.10,37.73,48.30,14,32.33,56.70,204,
104B,5M,Forward 2 Somersault Pike,2.30,0.00,0.00,0,0.00,0.00,0,
104B,7M,Forward 2 Somersault Pike,2.10,0.00,0.00,0,0.00,0.00,1,
104B,10M,Forward 2 Somersault Pike,2.20,0.00,0.00,0,0.00,0.00,0,
104C,1M,Forward 2 Somersault Tuck,2.20,30.95,53.90,5011,31.09,62.70,41217,
104C,3M,Forward 2 Somersault Tuck,2.00,26.58,34.00,12,28.81,48.00,69,
104C,5M,Forward 2 Somersault Tuck,2.20,0.00,0.00,0,21.63,34.10,3,
104C,7M,Forward 2 Somersault Tuck,2.00,0.00,0.00,0,0.00,0.00,0,
104C,10M,Forward 2 Somersault Tuck,2.10,0.00,0.00,0,36.75,47.25,3,
105A,3M,Forward 2 1/2 Somersault Straight,2.80,0.00,0.00,0,56.00,56.00,1,
105A,10M,Forward 2 1/2 Somersault Straight,2.70,0.00,0.00,0,0.00,0.00,0,
105B,1M,Forward 2 1/2 Somersault Pike,2.60,47.36,70.20,5459,46.87,78.00,37559,
105B,3M,Forward 2 1/2 Somersault Pike,2.40,42.68,64.80,8218,42.17,68.40,58400,
